show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,platform
s1403,movie,wendy wu: homecoming warrior,John Laing,"Brenda Song, Shin Koyamada, Susan Chuang, Justin Chon, Michael Cheng, Andy Fischer-Price",United States,2019-11-12,2006,TV-PG,91 min,"Action-Adventure, Coming of Age, Fantasy",Wendy's world is flipped upside down when a mysterious young monk arrives.,2019.0,11.0,Disney
s715,movie,a goofy movie,Kevin Lima,"Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin, Rob Paulsen, Wallace Shawn","United States, Australia, France, Canada",2019-11-12,1995,G,81 min,"Action-Adventure, Animation, Comedy",Goofy and Max hit the road and get up to their floppy ears in misadventure.,2019.0,11.0,Disney
s863,movie,don't look under the bed,Kenneth Johnson,"Erin Chambers, Eric Hodges II, Eric Hodges, Robin Riker, Steve Valentine, Jake Sakson",United States,2019-11-12,1999,TV-PG,93 min,"Coming of Age, Fantasy",Teen Frances McCausland is framed for the Boogeyman's mischievous pranks.,2019.0,11.0,Disney
s1012,movie,lego star wars: the new yoda chronicles – race for the holocrons,Michael Hegner,"Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Brian Drummond, Michael Donovan",United States,2019-11-12,2014,TV-Y7,24 min,"Action-Adventure, Animation, Comedy",Obi-Wan urges Luke to travel to Tatooine.,2019.0,11.0,Disney
s1176,movie,"sammy, the way-out seal",Norman Tokar,"Jack Carson, Robert Culp, Patricia Barry, Elisabeth Fraser, Michael McGreevey, Billy Mummy",United States,2019-11-12,1962,TV-G,43 min,"Animals & Nature, Comedy, Family",Two young brothers adopt an injured seal…without telling their parents. See details for advisory.,2019.0,11.0,Disney
s1234,movie,teacher's pet,Timothy Björklund,"Nathan Lane, Kelsey Grammer, Shaun Fleming, Debra Rupp, David Stiers, Jerry Stiller",United States,2019-11-12,2004,PG,75 min,"Animation, Comedy, Family",A dog discovers that his dream of becoming a real boy isn't so far-fetched.,2019.0,11.0,Disney
s627,movie,toy story 4,Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key, Madeleine McGraw",United States,2020-02-05,2019,G,101 min,"Action-Adventure, Animation, Comedy",Pixar Animation Studios proudly presents the adventure of a lifetime!,2020.0,2.0,Disney
s713,movie,"20,000 leagues under the sea",Richard Fleischer,"Kirk Douglas, James Mason, Paul Lukas, Peter Lorre, Robert Wilke, Ted de Corsia",United States,2019-11-12,1954,G,127 min,"Action-Adventure, Family, Science Fiction",Climb aboard the Nautilus and into an undersea world of adventure! See details for advisory.,2019.0,11.0,Disney
s1178,movie,santa paws 2: the santa pups,Robert Vince,"Cheryl Ladd, George Newbern, Pat Finn, Danny Woodburn, Obba Babatunde, Paul Rae",United States,2019-11-12,2012,G,92 min,"Fantasy, Musical","When holiday spirit mysteriously begins to disappear, the Santa Pups race to save Christmas.",2019.0,11.0,Disney
s1400,movie,valiant,Gary Chapman,"Ewan McGregor, Ricky Gervais, Tim Curry, Jim Broadbent, Hugh Laurie, John Cleese","United Kingdom, United States",2019-11-12,2005,G,76 min,"Action-Adventure, Animation, Comedy","When the world needs a hero, a little pigeon steps up.",2019.0,11.0,Disney
